,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
1978,300635,达安股份,建筑施工,广东,56.56,0.21,0.85,50438.46,49604.96,67.4,8595.96,1.01,0.649,5.41,6.78,20170331,17130.89,2.02,2.84,8.01,32.34,13.51,39795
2911,601200,上海环境,环境保护,上海,47.28,3.11,7.03,1189158.5,170768.63,34481.62,43149.98,0.61,0.662,6.96,4.5,20170331,179192.31,2.55,0.0,0.0,34.73,18.23,98764
2842,603303,得邦照明,家用电器,浙江,28.1,0.6,2.4,231999.02,179101.77,24227.9,9600.78,0.4,1.328,6.64,5.62,20170330,83048.4,3.46,-0.14,-6.59,20.79,9.88,54322
951,603041,美思德,化工原料,江苏,49.15,0.25,1.0,48410.73,31768.9,13959.75,6757.07,0.68,0.683,5.42,6.19,20170330,23048.82,2.3,4.94,1.36,42.09,24.19,27801
3169,601228,广州港,港口,广东,89.91,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.108,1.82,5.35,20170329,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
1678,300630,普利制药,化学制药,海南,69.51,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,11.85,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221
1951,603833,欧派家居,家居用品,广东,46.35,0.42,4.15,554842.75,219891.17,154291.38,65022.61,1.57,2.288,7.72,13.74,20170328,173348.88,4.18,27.23,94.39,36.55,13.31,39144
988,603178,圣龙股份,汽车配件,浙江,53.06,0.5,2.0,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,7.89,20170328,21428.82,1.07,12.33,17.81,23.24,6.46,49497
2979,603717,天域生态,环境保护,重庆,52.39,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,7.19,20170327,31289.65,1.81,0.64,11.91,30.18,13.31,39348
696,603388,元成股份,建筑施工,浙江,63.46,0.25,1.0,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,6.14,20170324,19665.52,1.97,22.99,8.56,24.79,9.72,27751
116,300629,新劲刚,矿物制品,广东,126.05,0.17,0.67,39283.85,27371.24,9031.75,5031.68,0.75,0.402,4.23,11.97,20170324,10057.5,1.51,0.59,21.76,31.63,10.95,30744
2672,603768,常青股份,汽车配件,安徽,43.04,0.51,2.04,153311.56,58885.82,64658.11,6359.89,0.31,0.727,4.88,6.42,20170324,48091.96,2.36,31.26,92.25,26.41,9.94,46888
2888,002774,快意电梯,运输设备,广东,58.63,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,9.42,20170324,13847.5,0.41,4.68,49.25,37.84,12.56,142948
1391,002858,力盛赛车,文教休闲,上海,102.63,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,11.29,20170324,11122.82,1.76,9.67,32.23,33.33,13.56,29413
2139,300631,久吾高科,环境保护,江苏,72.98,0.16,0.64,57826.46,42571.4,11932.55,162.5,0.03,0.671,8.16,6.0,20170323,31856.83,4.97,5.09,-14.37,42.92,17.51,29753
182,002857,三晖电气,电器仪表,河南,0.0,0.2,0.8,49211.35,45260.15,1047.67,16362.95,2.05,-0.052,5.05,7.83,20170323,14125.54,1.77,0.0,0.0,27.46,-20.0,36892
571,002855,捷荣技术,塑料,广东,69.55,0.6,2.4,164321.38,113054.6,37191.48,21839.24,0.91,0.301,4.47,4.68,20170321,37180.89,1.55,-20.85,-12.37,18.02,3.93,104263
2212,603656,泰禾光电,专用机械,安徽,53.82,0.19,0.76,50246.01,35605.1,11964.15,4719.93,0.62,1.101,6.77,8.75,20170321,24699.45,3.25,19.52,11.36,52.65,22.57,17687
2539,300627,华测导航,通信设备,上海,67.46,0.3,1.19,50236.1,44568.78,1471.15,7094.58,0.6,0.857,3.44,16.81,20170321,12881.53,1.08,33.14,93.07,55.15,21.18,54911
2398,002856,美芝股份,装修装饰,深圳,63.78,0.25,1.01,109391.71,105008.36,757.1,6482.72,0.64,0.514,4.48,7.31,20170320,17707.4,1.75,-10.61,11.71,15.15,5.49,46989
303,300626,华瑞股份,电气设备,浙江,81.05,0.25,1.0,79888.31,47178.48,23902.28,8107.97,0.81,0.395,3.65,8.77,20170320,11470.96,1.15,1.68,75.11,20.82,5.75,49456
102,603133,碳元科技,元器件,江苏,72.88,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,8.9,20170320,18411.78,0.89,40.6,51.09,30.32,17.67,14
2427,300625,三雄极光,半导体,广东,45.17,0.7,2.8,131153.77,94307.11,21518.42,814.9,0.03,0.881,3.49,11.39,20170317,43168.55,1.54,2.7,35.89,37.01,13.0,119575
2507,603517,绝味食品,食品,湖南,43.74,0.5,4.1,196189.61,88594.86,43118.73,7250.18,0.18,0.928,4.07,9.97,20170317,96996.31,2.37,12.08,26.42,31.84,11.62,45759
90,603179,新泉股份,汽车配件,江苏,61.57,0.4,1.59,199872.56,139237.27,40132.15,21180.64,1.33,0.713,4.97,8.84,20170317,24215.32,1.52,89.65,116.24,24.55,6.64,38383
2843,300628,亿联网络,通信设备,福建,55.24,0.19,0.75,90742.28,80902.3,1444.17,2480.91,0.33,5.79,14.37,22.26,20170317,69563.43,9.32,39.56,74.59,63.13,46.8,34252
2201,300621,维业股份,装修装饰,深圳,64.14,0.34,1.36,161155.69,148236.3,2493.37,9843.62,0.72,0.405,4.41,5.89,20170316,20899.88,1.54,19.34,51.21,13.4,3.45,60663
2593,300622,博士眼镜,其他商业,深圳,82.66,0.21,0.86,29869.85,23288.67,4237.21,9865.71,1.15,0.44,3.81,9.55,20170315,6525.46,0.76,10.72,7.06,75.74,9.08,40152
326,603811,诚意药业,化学制药,浙江,73.4,0.21,0.85,36427.35,18099.63,11821.82,12287.0,1.44,0.8,4.38,13.4,20170315,6879.92,0.81,1.35,18.13,51.11,21.22,23201
295,603960,克来机电,专用机械,上海,99.88,0.2,0.8,38050.3,24863.05,3202.75,6440.65,0.81,0.447,3.9,11.46,20170314,9833.0,1.23,24.25,16.88,35.39,18.6,18573
3162,603903,中持股份,环境保护,北京,103.18,0.26,1.02,81299.31,44394.03,217.78,21098.67,2.06,0.456,5.64,8.35,20170314,13382.87,1.31,24.02,3.14,27.02,11.43,26734
2537,300623,捷捷微电,半导体,江苏,50.98,0.24,0.94,128978.56,90991.6,14295.25,71619.63,7.65,0.332,12.13,5.58,20170314,28277.24,3.02,0.0,0.0,55.28,33.05,34288
323,603630,拉芳家化,日用化工,广东,49.94,0.44,1.74,107976.85,85920.31,7582.85,16333.92,0.94,0.857,6.42,6.66,20170313,49240.78,2.82,6.53,4.65,59.19,14.25,44166
925,603665,康隆达,纺织,浙江,49.4,0.25,1.0,78034.21,33193.23,28606.93,12895.71,1.29,0.938,4.96,9.34,20170313,13567.73,1.36,16.73,49.74,33.54,13.09,24566
