同和药业-9-0.4255
达安股份-9-0.492857142857
上海环境-1-1.99726688103
美思德-9-0.7468
得邦照明-6-0.201
广州港-12-5.86848354793
欧派家居-5-0.633333333333
圣龙股份-9-0.6802
普利制药-11-2.04709677419
天域生态-8-0.425813953488
元成股份-10-1.0812
快意电梯-10-0.73130952381
新劲刚-14-1.37705882353
力盛赛车-17-17.965
常青股份-6-0.341764705882
久吾高科-13-2.835625
三晖电气-11-0.81
泰禾光电-9-0.724736842105
捷荣技术-12-1.46666666667
华测导航-13-0.712333333333
华瑞股份-13-1.2996
碳元科技-13-1.86653846154
美芝股份-10-1.0136
绝味食品-10-5.9828
亿联网络-11-2.54368421053
三雄极光-9-0.723857142857
新泉股份-9-0.6565
维业股份-12-1.94382352941
诚意药业-11-0.895238095238
博士眼镜-13-2.28047619048
克来机电-14-1.9865
捷捷微电-12-3.1575
中持股份-13-4.46615384615
康隆达-9-1.0092
拉芳家化-10-2.03
皮阿诺-13-7.070625
大千生态-13-2.57636363636
光库科技-14-0.825909090909
道道全-8-1.0492
至正股份-16-4.91473684211
尚品宅配-9-1.24407407407
牧高笛-13-2.80352941176
麦格米特-16-6.05266666667
海量数据-18-2.40952380952
三星新材-14-3.10136363636
寒锐钴业-19-11.8226666667
科达利-9-3.00285714286
金银河-18-7.63894736842
安靠智电-14-4.08588235294
诺邦股份-11-7.61366666667
安井食品-11-1.72592592593
重庆建工-14-4.0332967033
美力科技-13-2.89909090909
海峡环保-15-2.77185840708
富瀚微-13-3.87636363636
博天环境-15-4.963
威星智能-14-3.10545454545
汇纳科技-18-2.8056
欣天科技-11-0.686
宣亚国际-12-1.93166666667
白银有色-15-4.25991404011
安正时尚-4-0.211690140845
茶花股份-11-12.7883333333
晨化股份-13-5.172
上海天洋-11-2.77866666667
高斯贝尔-15-3.18452380952
思特奇-13-1.96941176471
江山欧派-6-0.733
拓斯达-11-5.53611111111
科森科技-6-0.449433962264
新坐标-11-7.768
盐津铺子-16-14.0161290323
镇海股份-8-1.04269230769
金太阳-14-3.33363636364
恒锋信息-14-2.93285714286
数据港-15-9.9679245283
康泰生物-22-9.82452380952
德创环保-19-7.85882352941
英联股份-12-4.00066666667
百傲化学-10-0.967878787879
奇精机械-9-5.4575
飞荣达-11-1.2908
立昂技术-19-2.47961538462
正裕工业-11-2.04333333333
法兰泰克-12-3.826
会畅通讯-14-10.8033333333
华达科技-3-0.2755
瑞特股份-13-1.3872
同兴达-11-2.03208333333
张家港行-4-0.699779005525
集友股份-12-4.36647058824
中国银河-3-0.735883333333
吉大通信-15-11.1181666667
雄塑科技-10-1.35118421053
华凯创意-16-1.89483870968
艾迪精密-12-11.16
泰嘉股份-15-3.836
诚迈科技-16-3.8165
凯众股份-8-1.878
利安隆-11-8.33266666667
杰克股份-3-0.205
翔鹭钨业-12-2.6744
视源股份-9-1.47
中国科传-5-2.87106870229
荣晟环保-8-2.1134375
天马科技-11-6.74490566038
欧普康视-11-2.05058823529
华立股份-6-1.35764705882
江龙船艇-17-10.3436363636
泛微网络-14-5.86470588235
至纯科技-26-25.4036538462
新雷能-16-2.60827586207
海辰药业-11-2.155
清源股份-9-4.23411764706
和胜股份-8-0.741
海利尔-3-0.492666666667
荣泰健康-6-4.64111111111
贝斯特-7-0.4446
移为通信-6-0.596
万里马-16-5.62883333333
皖天然气-4-0.777142857143
华统股份-10-1.81311111111
天龙股份-7-1.6092
太平鸟-3-0.264545454545
道恩股份-9-8.47714285714
景旺电子-4-0.192291666667
赛托生物-5-0.292592592593
常熟汽饰-5-0.256428571429
德新交运-13-24.1584848485
熙菱信息-17-4.5164
天铁股份-7-0.641538461538
吉比特-11-7.36611111111
美联新材-11-2.37625
华正新材-13-11.4853125
中原证券-5-0.921
