,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
43,300562,乐心医疗,医疗保健,广东,73.44,0.47,1.89,66210.05,51004.37,7215.97,25168.0,1.33,0.426,2.68,11.68,20161116,17228.9,0.91,22.52,60.44,33.05,10.45,11800
3157,002809,红墙股份,化工原料,广东,63.49,0.2,0.8,101874.46,91355.21,8025.53,43456.37,5.43,0.99,11.07,4.74,20160823,34085.56,4.26,-2.68,-19.92,32.48,15.14,21166
1071,300530,达志科技,化工原料,广东,77.79,0.18,0.7,49126.8,40455.3,1428.5,20093.0,2.87,0.62,6.65,7.5,20160809,17726.5,2.53,0.0,0.0,50.63,35.44,12245
1326,300526,中潜股份,专用机械,广东,294.7,0.21,0.85,74429.15,33867.21,8410.71,17009.09,2.0,0.34,5.64,18.99,20160802,19958.78,2.35,0.0,0.0,30.01,8.72,14081
1925,300529,健帆生物,医疗保健,广东,77.89,0.42,4.17,121834.07,92711.68,25518.67,37572.43,0.9,0.37,2.72,12.76,20160802,26611.11,0.64,0.0,0.0,84.23,37.28,36265
3126,603322,超讯通信,通信设备,广东,160.87,0.2,0.8,105239.86,101431.65,2708.66,25377.57,3.17,0.44,5.98,10.18,20160728,13453.61,1.68,11.78,-28.96,20.51,3.9,9230
2235,002806,华锋股份,元器件,广东,122.81,0.2,0.8,53244.9,30178.33,18078.67,8258.58,1.03,0.38,4.4,9.16,20160726,17081.52,2.14,24.05,2.43,17.86,7.07,14725
305,300521,爱司凯,专用机械,广东,157.49,0.2,0.8,52305.81,43363.15,2495.41,20405.65,2.55,0.078,5.9,8.38,20160705,17449.75,2.18,0.71,6.9,50.98,17.88,12006
353,002791,坚朗五金,其他建材,广东,35.1,0.54,2.14,299995.94,240467.41,31826.64,108452.47,5.06,0.92,11.25,3.58,20160329,102715.34,4.79,17.62,29.86,40.61,9.38,27905
1736,002792,通宇通讯,通信设备,广东,35.77,0.71,2.26,249975.63,220052.25,14056.62,73251.21,3.24,0.692,7.89,4.19,20160328,76158.46,3.37,-3.68,-13.5,38.91,16.53,26570
2215,603861,白云电器,电气设备,广东,107.58,1.21,4.09,260312.95,162975.48,55917.03,34267.19,0.84,0.17,4.42,5.43,20160322,91669.77,2.24,0.0,0.0,28.29,8.54,31932
1546,300503,昊志机电,机械基件,广东,82.38,0.41,1.01,86329.06,60730.3,15529.26,31938.75,3.15,0.66,6.76,7.54,20160309,28400.16,2.8,49.55,44.5,52.36,18.97,16000
1202,603608,天创时尚,服饰,广东,47.32,0.91,2.8,182218.7,132471.31,24096.48,84246.36,3.01,0.44,5.46,3.63,20160218,37169.28,1.33,-5.07,12.47,57.16,7.58,29531
1947,601900,南方传媒,出版业,广东,26.75,1.76,8.19,860900.31,454182.31,56502.7,108321.01,1.32,0.53,4.37,3.16,20160215,157151.13,1.92,6.87,12.01,29.48,8.59,57751
1558,300499,高澜股份,专用机械,广东,63.12,0.67,1.2,111595.71,84958.71,13590.57,21531.49,1.79,0.5,4.96,6.07,20160202,23380.0,1.95,32.45,12.39,43.22,12.21,14570
1206,603398,邦宝益智,文教休闲,广东,125.59,0.53,2.11,62167.88,40371.46,8201.05,20298.11,0.96,0.38,2.75,12.65,20151209,13639.01,0.65,-9.01,-11.51,37.99,20.8,15330
2548,603936,博敏电子,元器件,广东,83.59,0.56,1.67,182593.34,76570.57,79809.81,34337.15,2.05,0.234,5.5,4.75,20151209,37725.1,2.25,21.34,-10.78,16.39,4.12,26232
1176,300498,温氏股份,农业综合,广东,23.33,29.81,43.5,4305545.0,1862068.75,1154893.88,571391.75,1.31,0.339,7.36,4.29,20151102,2011239.25,4.62,-4.86,-52.36,17.81,11.51,61587
2954,603838,四通股份,陶瓷,广东,70.93,0.97,2.67,78221.9,50191.34,9220.94,13989.55,0.52,0.224,2.5,6.37,20150701,23305.02,0.87,-9.58,9.38,30.27,14.23,30816
3062,300482,万孚生物,生物制药,广东,90.35,1.06,1.76,100574.71,72620.11,22005.95,29052.58,1.65,0.824,4.79,15.55,20150630,32878.73,1.87,27.65,15.66,68.49,26.49,10899
494,002776,柏堡龙,服饰,广东,59.34,0.75,2.4,148379.66,116544.63,11967.42,51302.05,2.13,0.329,5.03,5.18,20150626,27997.9,1.16,-0.11,-10.87,28.64,17.53,15209
243,300476,胜宏科技,元器件,广东,38.75,1.7,3.75,236174.05,148517.75,74886.75,57436.45,1.53,0.619,3.86,6.21,20150611,50293.45,1.34,41.5,83.4,27.32,12.77,18111
1339,300464,星徽精密,机械基件,广东,165.64,0.89,2.1,88729.85,34209.3,34955.9,12703.92,0.61,0.021,2.45,5.8,20150610,17369.85,0.83,5.81,-39.79,23.5,4.8,12581
3039,002762,金发拉比,服饰,广东,93.96,0.51,2.02,94507.93,73875.93,5321.9,29877.85,1.48,0.243,4.27,7.12,20150610,32476.01,1.61,0.42,-1.63,50.5,18.86,17780
1399,002759,天际股份,家用电器,广东,205.09,0.81,4.52,65698.56,28010.55,30834.44,11639.94,0.26,0.088,2.47,9.72,20150528,20971.34,0.46,7.79,8.43,31.04,13.24,25112
1626,002757,南兴装备,家居用品,广东,55.16,0.38,1.09,100466.82,57573.71,29862.02,35031.4,3.2,0.158,7.24,4.83,20150527,29922.93,2.74,48.85,71.04,29.36,12.45,14086
2445,300458,全志科技,元器件,广东,64.77,0.7,1.67,248269.25,216840.66,14459.76,85698.31,5.14,0.92,12.3,4.7,20150515,100181.46,6.01,3.52,16.2,41.1,11.88,22007
1809,300460,惠伦晶体,元器件,广东,162.07,0.69,1.68,88266.5,40448.15,38702.55,25689.24,1.53,0.093,3.89,5.16,20150515,20596.57,1.22,-13.85,-55.42,21.76,5.94,19289
50,300404,博济医药,医疗保健,广东,1064.18,0.65,1.33,51558.3,32873.12,6846.83,15867.13,1.19,0.022,3.22,9.64,20150424,12302.19,0.92,-53.38,-83.17,47.46,7.25,9831
2813,300438,鹏辉能源,电气设备,广东,73.55,1.25,2.81,171799.73,108809.57,34095.71,25416.42,0.9,0.308,3.57,8.48,20150424,37002.84,1.32,52.39,65.35,23.86,10.16,23264
1822,300448,浩云科技,软件服务,广东,51.14,0.73,2.02,89864.77,61015.98,8916.71,25716.06,1.27,0.44,3.33,6.61,20150424,21529.17,1.06,17.02,32.29,45.8,15.99,13804
772,300424,航新科技,航空,广东,133.33,0.69,1.33,111047.57,64755.3,28876.97,30312.88,2.28,0.45,6.58,9.12,20150422,40138.55,3.02,2.88,-17.09,42.73,14.1,15419
1208,603268,松发股份,陶瓷,广东,110.62,0.41,0.88,87046.18,45543.42,20814.23,24328.34,2.76,0.444,6.43,7.64,20150319,21376.57,2.43,20.79,6.02,31.18,11.13,10765
152,603309,维力医疗,医疗保健,广东,53.6,0.77,2.0,97268.3,60699.92,19441.68,30776.59,1.54,0.396,4.29,4.95,20150302,31648.27,1.58,-6.09,-13.22,37.4,15.38,22525
1400,002745,木林森,半导体,广东,46.04,0.78,5.28,1256778.5,760813.19,380035.19,310465.53,5.88,0.65,9.63,3.79,20150217,130806.9,2.48,27.63,26.18,24.57,8.52,18270
2889,603898,好莱客,家居用品,广东,44.22,0.87,3.0,157203.16,88502.21,46498.26,31411.74,1.05,0.86,3.86,9.63,20150217,55087.41,1.84,32.44,55.3,39.98,17.6,7805
2512,002741,光华科技,化工原料,广东,88.15,1.51,3.6,99636.21,62268.7,24934.77,8469.83,0.24,0.134,2.16,7.32,20150216,30765.27,0.85,13.54,12.67,24.34,6.92,51216
1553,300417,南华仪器,电器仪表,广东,104.86,0.28,0.82,39983.65,34359.56,870.07,11993.74,1.47,0.25,4.51,7.75,20150123,15143.42,1.86,-6.23,-16.58,43.73,17.38,6171
134,300415,伊之密,专用机械,广东,66.02,1.59,2.4,175804.55,93119.18,37980.59,22821.45,0.95,0.308,3.36,8.08,20150123,27998.66,1.17,15.13,40.22,36.22,7.23,15284
483,300410,正业科技,电器仪表,广东,80.56,0.52,1.97,246603.22,131092.84,13619.67,137773.88,6.99,0.12,9.18,3.86,20141231,28309.09,1.44,114.71,958.01,37.43,12.31,11725
3015,002732,燕塘乳业,乳制品,广东,97.72,0.61,1.57,110928.77,33245.87,25882.32,31940.59,2.03,0.076,5.49,5.44,20141205,34240.71,2.18,27.84,33.96,32.64,5.08,26299
432,300409,道氏技术,陶瓷,广东,70.83,1.11,2.15,182505.94,115246.38,21639.36,62956.88,2.93,0.47,5.45,6.12,20141203,29039.73,1.35,45.18,98.67,40.38,12.59,17329
1983,300408,三环集团,元器件,广东,35.12,9.79,17.28,588341.19,455853.91,101954.36,12706.03,0.07,0.62,2.96,7.27,20141203,282707.94,1.64,16.0,21.24,47.91,36.68,21626
2946,300403,地尔汉宇,家用电器,广东,35.95,0.59,1.34,148682.59,100861.25,19928.35,64226.05,4.79,1.43,10.0,5.14,20141030,48720.87,3.64,8.89,29.61,41.91,25.27,14189
2771,002728,特一药业,中成药,广东,52.61,0.61,2.0,160318.81,47213.8,27534.15,23792.63,1.19,0.474,4.43,5.62,20140731,39568.01,1.98,26.97,16.86,47.74,14.45,15351
2742,603328,依顿电子,元器件,广东,27.0,0.98,4.98,579633.88,487055.09,85873.75,147508.81,2.96,1.19,9.52,3.35,20140701,261947.55,5.26,0.21,25.91,28.57,20.05,19646
2255,002715,登云股份,汽车配件,广东,565.59,0.54,0.92,66612.46,34404.4,24257.43,24281.5,2.64,0.036,4.86,5.63,20140219,9129.75,0.99,18.28,116.79,25.05,1.67,12064
