DR浙江仙-6-0.53347826087
亚翔集成-13-2.38301886792
奥联电子-11-1.5215
新宏泽-14-3.35475
英维克-9-0.772
同为股份-10-1.27148148148
日月股份-4-0.39512195122
英飞特-9-0.909090909091
弘亚数控-11-2.5203030303
元祖股份-8-1.0655
杭叉集团-5-0.43367816092
贵广网络-5-0.585904761905
比音勒芬-5-0.352592592593
永吉股份-13-4.01785714286
数字认证-12-3.158
汇金通-10-1.29206896552
信捷电气-9-1.606
开润股份-10-0.705294117647
容大感光-15-3.3595
晨曦航空-12-1.64636363636
百合花-9-12.1186666667
中旗股份-7-0.170555555556
武进不锈-5-0.381764705882
森特股份-8-1.65682539683
裕同科技-5-0.2165
亚振家居-9-1.71854545455
苏利股份-8-0.7052
家家悦-8-1.77522222222
星网宇达-12-1.48131578947
名雕股份-11-3.25058823529
平治信息-20-25.017
兴业股份-9-0.6338
易明医药-14-6.35553191489
高争民爆-11-0.70152173913
如通股份-11-1.01215686275
麦迪科技-15-3.3275
兴齐眼药-21-2.8875
贝肯能源-11-0.665517241379
三维股份-9-0.870434782609
太辰光-10-1.02
华安证券-5-0.7732125
安车检测-14-1.85058823529
中通国脉-16-3.21045454545
苏州科达-14-4.8548
星源材质-12-0.63125
湘油泵-15-7.02
吴江银行-6-1.36517857143
中装建设-10-1.4008
纳尔股份-16-1.728
神力股份-14-5.179
天能重工-10-0.781904761905
凯中精密-12-0.81
宏辉果蔬-13-2.70878787879
通灵珠宝-10-0.93868852459
精测电子-13-0.904
科信技术-14-0.6075
博迈科-8-3.41745762712
康德莱-12-1.04490566038
步长制药-7-0.620142857143
凯莱英-12-1.31782608696
桂发祥-11-1.6409375
汇金科技-14-0.755714285714
徕木股份-17-3.05266666667
乐心医疗-18-1.43276595745
上海银行-2-0.268066666667
激智科技-14-0.85
神宇股份-19-9.969
东方中科-21-3.6775
国泰集团-15-14.4701818182
海兴电力-6-0.343655913978
富森美-8-0.631136363636
国检集团-14-3.39527272727
快克股份-15-6.30347826087
贝达药业-14-1.0687804878
海天精工-29-12.8248076923
丝路视觉-22-11.3303571429
佳发安泰-14-1.09277777778
理工光科-18-2.20214285714
中富通-18-5.13055555556
塞力斯-13-1.43923076923
新华网-12-1.41326923077
杭州银行-3-3.2829389313
电魂网络-14-1.8875
黄山胶囊-15-1.44909090909
和科达-17-1.854
五洲新春-14-2.28529411765
集智股份-19-2.5175
能科股份-18-3.51107142857
万集科技-17-1.85851851852
古鳌科技-19-3.54388888889
和仁科技-19-2.1785
路通视信-14-1.201
汇顶科技-20-13.718
顾家家居-5-0.413493975904
梦百合-6-0.74
博创科技-18-2.54523809524
路畅科技-20-11.452
来伊份-8-1.55966666667
崇达技术-8-0.344
鼎信通讯-9-1.04534883721
城地股份-15-17.8696
常熟银行-7-1.25315315315
优德精密-16-4.02117647059
川环科技-11-1.166
联得装备-14-3.50722222222
泰晶科技-13-4.37882352941
雄帝科技-18-4.06076923077
无锡银行-8-2.23275675676
新晨科技-19-4.39260869565
农尚环境-15-2.32565217391
通用股份-8-1.08022857143
创新股份-8-1.15848484848
网达软件-16-3.51872727273
陇神戎发-12-1.01863636364
先进数通-16-5.04766666667
振华股份-11-1.59836363636
新天然气-7-1.1875
三角轮胎-5-0.63605
朗科智能-13-3.86533333333
亚泰国际-10-0.904444444444
正平股份-13-2.1072
江阴银行-10-12.953492823
安图生物-12-1.48619047619
宏盛股份-18-11.5016
横河模具-18-2.35416666667
广信材料-15-2.5192
山东赫达-16-7.07458333333
花王股份-13-3.47696969697
同益股份-16-3.025
深冷股份-14-2.7355
红墙股份-12-1.1505
安德利-15-4.8115
欧普照明-8-0.490517241379
冰川网络-13-1.0348
兆易创新-18-22.6704
今天国际-16-3.22047619048
上海电影-12-5.35436170213
贵阳银行-5-1.41452
广西广电-11-1.2945
上海亚虹-19-11.4876
苏州恒久-17-1.375
达威股份-16-2.53
长久物流-11-1.5355
中国电影-12-1.51346895075
优博讯-18-7.2865
达志科技-18-17.9516666667
幸福蓝海-16-0.844743589744
新华文轩-13-1.80171717172
华舟应急-16-2.69862068966
健帆生物-17-1.68857142857
中潜股份-19-12.6147619048
江苏银行-3-2.09466204506
三祥新材-20-5.93882352941
XD超讯通-17-3.436
辰安科技-19-3.9385
华锋股份-23-7.402
博思软件-22-3.29176470588
海波重科-16-4.63461538462
吉宏股份-20-4.97103448276
海汽集团-15-3.0246835443
科大国创-21-3.71130434783
丰元股份-21-24.67125
玲珑轮胎-9-1.6865
世名科技-14-1.86235294118
爱司凯-17-2.563
新宏泰-15-1.30594594595
哈森股份-14-10.1548148148
洪汇新材-17-1.83888888889
合诚股份-18-3.1764
新光药业-21-29.107
盛讯达-19-4.54347826087
微光股份-19-4.55344827586
小康股份-18-5.13447552448
三德科技-19-2.2052
环球印务-22-7.0492
上海沪工-21-8.7408
中国核建-16-7.93996190476
三棵树-17-10.3984
久之洋-18-5.369
恒泰实达-22-34.7947368421
天顺股份-22-11.0721052632
中亚股份-11-2.38779411765
帝王洁具-17-28.1940909091
四方冷链-11-3.72807692308
百利科技-15-28.82375
威龙股份-19-19.9634
第一创业-5-1.35534246575
世嘉科技-11-3.2
金冠电气-10-0.514444444444
汇嘉时代-8-1.52888888889
雪榕生物-9-4.17849056604
多伦科技-17-6.25904761905
苏奥传感-9-1.48909090909
永和智控-9-1.1090625
嘉澳环保-10-2.86780487805
天鹅股份-11-13.6386486486
新美星-11-1.40923076923
朗迪集团-11-2.69416666667
维宏股份-15-14.6726666667
飞科电器-9-2.85840909091
东音股份-13-3.87151515152
德宏股份-13-3.87
康普顿-12-2.34093023256
景嘉微-20-3.19402985075
赛福天-16-4.39655172414
坚朗五金-6-2.51777777778
通宇通讯-9-0.954647887324
名家汇-11-3.0878030303
白云电器-8-0.960661157025
蓝海华腾-19-9.42
华钰矿业-9-1.00854092527
川金诺-10-1.75657894737
建艺集团-7-0.766486486486
金徽酒-7-1.56685393258
昊志机电-14-2.89
司太立-9-1.51338461538
瑞尔特-8-3.4575
千禾味业-8-2.14417910448
新易盛-10-2.64292682927
鹭燕医药-8-1.06337837838
天创时尚-8-12.820989011
南方传媒-10-4.94085227273
东方时尚-8-2.02483050847
启迪设计-11-2.61823529412
海顺新材-11-2.18875
高澜股份-12-1.56044776119
高科石化-14-12.4855555556
