浙江,360
江苏,337
北京,289
广东,267
上海,251
深圳,242
山东,176
福建,116
四川,110
安徽,98
湖北,95
湖南,91
河南,76
辽宁,75
河北,54
新疆,50
天津,46
陕西,46
重庆,45
吉林,42
山西,38
江西,37
广西,36
黑龙江,35
云南,32
甘肃,31
海南,29
内蒙,25
贵州,23
西藏,14
宁夏,12
青海,11
