国盛智科;2;11688.144333333334
泽达易盛;2;13021.648947368421
联赢激光;2;12422.369411764706
神州细胞;2;11681.734666666667
复旦张江;2;12846.791758241758
聚合顺;7;66.34417721518987
金宏气体;2;10930.821274509804
博汇科技;2;12489.52
天合光能;2;11542.858105263158
中天精装;4;15.934473684210527
松井股份;2;13452.54388888889
燕麦科技;2;11964.349032258064
ST国重装;6;46.79153846153846
浙江力诺;9;25.86529411764706
三峰环境;4;49.713968253968254
浙矿股份;10;38.0848
中泰证券;10;79.90776183644189
宇新股份;3;48.48571428571428
德马科技;2;13720.90947368421
凯迪股份;3;43.32846153846154
佰奥智能;7;66.85916666666667
三人行;10;74.29764705882353
长源东谷;4;60.21793103448277
盛视科技;6;53.065625
龙磁科技;13;16.593888888888888
威奥股份;3;51.898421052631576
奥特维;2;13882.2645
浩洋股份;4;11.478571428571428
晶科科技;5;64.65038655462185
吉贝尔;2;12690.451315789474
豪美新材;6;61.922931034482765
金博股份;2;12633.801666666666
新产业;14;69.62536585365854
凌志软件;2;12988.42
金科环境;2;11870.758695652174
派瑞股份;18;84.192375
京北方;8;74.8615
金现代;14;76.06860465116279
赛伍技术;8;65.82125
光云科技;2;14534.251875
北摩高科;12;72.25131578947368
万泰生物;27;101.62
贵州三力;12;86.30170731707317
芯瑞达;11;64.94914285714286
财富趋势;2;11924.696666666667
湘佳股份;3;15.35923076923077
金田铜业;2;55.73739669421487
金丹科技;5;53.841785714285706
锐新科技;6;59.015714285714274
锦和商业;3;63.439684210526316
沪硅产业;2;11840.834577777778
朝阳科技;6;64.77208333333333
安宁股份;2;44.281951219512194
成都先导;2;13097.953714285713
越剑智能;2;54.199090909090906
华盛昌;7;66.91454545454546
上能电气;6;69.415
京源环保;2;12976.802916666667
三友医疗;2;13095.83
雷赛智能;9;74.56461538461538
XD和顺石;2;59.554242424242425
测绘股份;7;20.3095
阿尔特;10;84.9903947368421
开普云;2;10579.286666666667
南新制药;2;10667.71125
爱丽家居;4;59.38816666666666
佳华科技;2;10619.918333333333
建科机械;7;49.88695652173913
天箭科技;9;45.63055555555555
贝仕达克;8;52.84148148148148
东岳硅材;6;54.9586
聚杰微纤;8;66.94
雪龙集团;8;60.888108108108106
瑞玛工业;8;68.682
建业股份;7;51.64225
华润微;2;10407.764008438819
紫晶存储;2;11044.620681818182
中银证券;13;76.96298561151079
良品铺子;15;56.92170731707317
百奥泰;2;9638.372545454544
XD神工股;2;12382.82918918919
石头科技;2;10198.97
双飞股份;6;31.4552
华峰测控;2;12091.44923076923
瑞松科技;2;12924.666
道通科技;2;11024.053555555556
英杰电气;8;52.165416666666665
耐普矿机;6;61.17722222222222
映翰通;2;15245.878333333334
广大特材;2;11873.43894736842
赛特新材;2;12319.394444444444
艾可蓝;7;46.0605
瑞芯微;18;67.71285714285715
公牛集团;8;68.01866666666666
东方生物;2;12366.066666666668
博杰股份;11;59.19882352941176
斯达半导;23;121.24975
玉禾田;3;12.877714285714285
有方科技;2;10355.42052631579
泽璟制药;2;10071.683636363636
洁特生物;2;12724.068695652173
威胜信息;2;11813.3115
优刻得;2;11093.220681818182
特宝生物;2;14246.527105263158
京沪高铁;2;82.67418202764976
奥普家居;3;53.79575
泰林生物;14;62.716153846153844
万德斯;2;12279.923684210526
和远气体;8;47.4175
易天股份;10;55.77684210526316
侨银环保;12;68.17487804878049
兴图新科;2;11952.382941176471
八亿时空;2;10519.870476190476
